code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4682918	1755407	1743484	1297034
DE-BE	7691163	2842525	2816949	2162291
DE-BUND	529616	201894	194832	141034
DE-BW	22225171	8204239	8218543	6284303
DE-BY	26325592	9716818	9805176	7309053
DE-HB	1605892	613498	604941	435697
DE-HE	12766591	4825286	4683467	3510045
DE-HH	4060522	1537685	1534299	1097294
DE-MV	3231464	1196510	1195748	905340
DE-NI	17063737	6273720	6201721	5023341
DE-NW	38604321	14403265	14128056	10893544
DE-RP	8470789	3175964	3072157	2390258
DE-SH	6624372	2340613	2346294	2072587
DE-SL	2212310	810837	807725	643341
DE-SN	7083718	2649855	2611046	1924497
DE-ST	4220567	1567811	1592028	1168929
DE-TH	3963024	1486892	1486069	1084675
